url, result, TBT, loadtime, docTime, fullyLoaded, bytesOut, bytesOutDoc, bytesIn, bytesInDoc, requests, requestaFull, requestsDoc, responses_200, responses_404, responses_other, chromeUserTiming.loadEventStart, chromeUserTiming.loadEventEnd, chromeUserTiming.domContentLoadedEventStart, chromeUserTiming.domContentLoadedEventEnd, chromeUserTiming.domComplete, connections,chromeUserTiming.CumulativeLayoutShift, chromeUserTiming.LargestContentfulPaint, chromeUserTiming.firstContentfulPaint, FirstInteractive, TimeToInteractive, chromeUserTiming.domInteractive, domComplete, renderBlockingCSS, renderBlockingJS, TTFB
https://www.samsung.com/au/smartphones/galaxy-z-fold4/buy/,https://www.webpagetest.org/results.php?test=230203_BiDc1Q_4VH,12386,13421,13421,38834,676079,154508,2835568,1394184,256,256,56,204,0,52,13421,13514,9275,9925,13384,66,0.0518798828,3025,2313,28790,,9275,13377,4,1,929,
https://www.samsung.com/au/smartphones/galaxy-s23-ultra/,https://www.webpagetest.org/results.php?test=230203_BiDc6F_4TH,10408,10845,10845,36306,597247,147806,2725731,1295921,225,225,56,179,0,46,10845,10993,4956,5292,10834,69,0.0290527344,3111,1937,26993,,4952,10831,7,1,821,
https://www.samsung.com/au/,https://www.webpagetest.org/results.php?test=230203_AiDcEK_4N0,9561,33033,33033,57790,578253,108605,3049112,1519093,219,219,44,175,0,44,33033,33077,29284,29583,33025,67,0.0290527344,29218,27816,,,29282,33011,11,1,1230,
https://www.samsung.com/au/,https://www.webpagetest.org/results.php?test=230203_BiDc75_4TQ,9624,12797,12797,36771,597131,210493,2725548,1296658,226,226,82,179,0,47,12797,12906,6662,6882,12795,67,0.0290527344,5284,3775,,,6661,12779,7,1,1007,
https://www.samsung.com/au/,https://www.webpagetest.org/results.php?test=230203_BiDc5S_4TX,10127,12594,12594,39009,565005,171266,3048706,1529781,216,216,68,174,0,42,12594,12722,6202,6603,12584,66,0.0290527344,6961,3121,,,6201,12568,11,1,1303,
https://www.samsung.com/au/smartphones/galaxy-s23/,https://www.webpagetest.org/results.php?test=230203_BiDcSB_4VB,9594,13314,13314,39892,591712,211518,2708886,1280486,225,225,84,179,0,46,13314,13446,6823,7085,13292,65,0.0290527344,4240,3453,28033,,6823,13291,7,1,1220,
https://www.samsung.com/au/smartphones/galaxy-s23-ultra/,https://www.webpagetest.org/results.php?test=230203_BiDc0Y_4V0,9014,12724,12724,39242,596863,207390,2724777,1296246,225,225,81,179,0,46,12724,12828,6436,6648,12722,67,0.0290527344,5012,3047,27055,,6433,12708,7,1,1003,
https://www.samsung.com/au/smartphones/galaxy-s23/buy/,https://www.webpagetest.org/results.php?test=230203_BiDcQX_4TJ,15001,15512,15512,42116,667999,163684,3010479,1520792,248,248,62,199,0,49,15512,15630,9651,10319,15467,70,0.409922858,12490,3905,,,9651,15455,4,1,836,
https://www.samsung.com/au/,https://www.webpagetest.org/results.php?test=230203_BiDc77_4TR,9096,12849,12849,39707,604046,219397,2725042,1296780,226,226,85,179,0,47,12849,12944,6374,6599,12831,67,0.0290527344,5516,3081,27215,,6374,12815,7,1,1008,
https://www.samsung.com/au/smartphones/galaxy-s23/,https://www.webpagetest.org/results.php?test=230203_BiDc34_4TG,9289,12851,12851,39381,597379,208947,2709721,1280941,225,225,81,179,0,46,12851,12952,6449,6783,12835,67,0.0290527344,4586,3486,27313,,6447,12819,7,1,876,
