url, result, TBT, loadtime, docTime, fullyLoaded, bytesOut, bytesOutDoc, bytesIn, bytesInDoc, requests, requestaFull, requestsDoc, responses_200, responses_404, responses_other, chromeUserTiming.loadEventStart, chromeUserTiming.loadEventEnd, chromeUserTiming.domContentLoadedEventStart, chromeUserTiming.domContentLoadedEventEnd, chromeUserTiming.domComplete, connections,chromeUserTiming.CumulativeLayoutShift, chromeUserTiming.LargestContentfulPaint, chromeUserTiming.firstContentfulPaint, FirstInteractive, TimeToInteractive, chromeUserTiming.domInteractive, domComplete, renderBlockingCSS, renderBlockingJS, TTFB
https://www.samsung.com/au/smartphones/galaxy-s23-ultra/,https://www.webpagetest.org/results.php?test=230206_AiDc0Y_5WJ,10208,10384,10384,36648,595372,153462,2677804,1244745,225,225,57,179,0,46,10384,10485,4626,4916,10372,67,0.0290527344,2974,1853,25553,,4621,10358,7,1,835,
https://www.samsung.com/au/smartphones/galaxy-z-fold4/buy/,https://www.webpagetest.org/results.php?test=230206_AiDcT0_5WN,12433,14052,14052,38625,685890,247002,2811185,1369767,260,260,96,208,0,52,14052,14171,7512,8124,14002,67,0.39778645830000003,3271,2101,27848,,7512,13990,4,1,827,
https://www.samsung.com/au/smartphones/galaxy-s23/,https://www.webpagetest.org/results.php?test=230206_BiDcKG_5W0,8500,10304,10304,37267,590928,150829,2648922,1218654,224,224,58,179,0,45,10304,10419,4072,4289,10291,68,0.0290527344,2643,1867,25810,25810,4070,10286,7,1,853,
https://www.samsung.com/au/smartphones/galaxy-s23-ultra/,https://www.webpagetest.org/results.php?test=230206_AiDc0Z_5WP,10051,10688,10688,37338,602092,146227,2677674,1244736,225,225,55,179,0,46,10688,10829,5176,5404,10667,67,0.0290527344,3037,2016,25884,,5176,10659,7,1,1056,
https://www.samsung.com/au/smartphones/galaxy-z-fold4/buy/,https://www.webpagetest.org/results.php?test=230206_BiDc1R_5WA,12335,13860,13860,38854,678761,238440,2808437,1369690,259,259,93,208,0,51,13860,13950,7368,8000,13812,68,0.39778645830000003,3489,2126,27540,,7367,13798,4,1,840,
https://www.samsung.com/au/smartphones/galaxy-z-fold4/buy/,https://www.webpagetest.org/results.php?test=230206_BiDc5R_5WB,12843,13305,13305,38545,680369,179900,2808435,1369290,259,259,65,208,0,51,13305,13420,7457,8104,13258,65,0.375,3724,2063,28307,,7454,13249,4,1,841,
https://www.samsung.com/au/smartphones/galaxy-z-fold4/buy/,https://www.webpagetest.org/results.php?test=230206_BiDcDJ_5WC,11800,13486,13486,37598,684256,173215,2808437,1368868,261,261,64,208,0,53,13486,13634,7681,8393,13440,68,0.375,3848,2278,28715,,7680,13428,4,1,1158,
https://www.samsung.com/au/smartphones/galaxy-s23-ultra/buy/,https://www.webpagetest.org/results.php?test=230206_AiDcX6_5WV,14158,14611,14611,38087,669690,164009,2889154,1406554,249,249,59,200,0,49,14611,14700,8265,8836,14574,69,0.067993164,11400,4087,,,8265,14565,4,1,842,
https://www.samsung.com/au/smartphones/galaxy-s23/buy/,https://www.webpagetest.org/results.php?test=230206_BiDcFJ_5WG,14118,14353,14353,41322,675960,177661,2884077,1393252,249,249,64,201,0,48,14353,14488,7453,8015,14306,69,0.39778645830000003,10403,2187,29757,,7450,14290,4,1,844,
https://www.samsung.com/au/smartphones/galaxy-s23/buy/,https://www.webpagetest.org/results.php?test=230206_BiDc7B_5WM,14446,13869,13869,38169,680858,168373,2888736,1398253,250,250,61,202,0,48,13869,13971,7572,8168,13822,70,0.39778645830000003,10561,2355,,,7571,13811,4,1,912,
https://www.samsung.com/au/smartphones/galaxy-z-fold4/,https://www.webpagetest.org/results.php?test=230206_BiDcQS_5WW,13229,13806,13806,44353,651640,210713,2862464,1434312,240,240,71,193,1,46,13806,13891,4138,4420,13782,67,0.0290527344,3423,2272,30662,30662,4138,13776,7,1,823,
https://www.samsung.com/au/smartphones/galaxy-z-fold4/,https://www.webpagetest.org/results.php?test=230206_BiDc37_5WV,14492,14812,14812,45285,664408,230370,2861727,1434846,240,240,78,193,1,46,14812,14890,4263,4507,14794,67,0.0290527344,3433,2295,29696,,4263,14781,7,1,873,
https://www.samsung.com/au/smartphones/galaxy-z-fold4/,https://www.webpagetest.org/results.php?test=230206_AiDcKG_5X4,15223,14461,14461,48742,726556,219442,2911743,1471063,259,259,76,210,2,47,14461,14548,4252,4547,14458,68,0.0290527344,3493,2280,31414,31414,4252,14441,7,1,882,
https://www.samsung.com/au/smartphones/galaxy-s23/,https://www.webpagetest.org/results.php?test=230206_BiDcAB_5W7,8552,10547,10547,37158,595012,154195,2648899,1218643,225,225,58,179,0,46,10547,10695,4172,4390,10531,69,0.0290527344,3281,1833,25388,25388,4171,10521,7,1,836,
https://www.samsung.com/au/smartphones/galaxy-z-fold4/buy/,https://www.webpagetest.org/results.php?test=230206_BiDcD9_5W8,12227,12863,12863,37678,692506,168303,2808758,1368330,261,261,60,208,0,53,12863,12970,7503,8057,12815,68,0.0518798828,3271,2140,27262,,7503,12806,4,1,831,
https://www.samsung.com/au/smartphones/galaxy-s23/,https://www.webpagetest.org/results.php?test=230206_AiDcNF_5WM,9424,10158,10158,42430,670782,148973,2663911,1218673,243,243,56,196,0,47,10158,10306,4395,4674,10144,66,0.0290527344,2654,1829,25775,25775,4395,10135,7,1,833,
https://www.samsung.com/au/smartphones/galaxy-s23/,https://www.webpagetest.org/results.php?test=230206_BiDcMS_5W5,9480,10392,10392,34714,584658,149306,2649065,1218641,224,224,56,179,0,45,10392,10493,6220,6584,10378,67,0.0623744382,2668,1939,,,6220,10361,7,1,879,
https://www.samsung.com/au/smartphones/galaxy-s23-ultra/,https://www.webpagetest.org/results.php?test=230206_BiDcHR_5WF,10232,10283,10283,33863,597241,147764,2661881,1244732,225,225,56,179,0,46,10283,10400,4769,5041,10270,67,0.0290527344,3012,2038,,,4768,10260,7,1,970,
https://www.samsung.com/au/smartphones/galaxy-s23-ultra/,https://www.webpagetest.org/results.php?test=230206_BiDcGQ_5WR,9661,10431,10431,36921,603415,155512,2674974,1244737,225,225,58,179,0,46,10431,10552,4559,4792,10418,66,0.0290527344,2897,1852,25145,,4559,10405,7,1,839,
https://www.samsung.com/au/smartphones/galaxy-s23-ultra/,https://www.webpagetest.org/results.php?test=230206_AiDcX6_5X2,10144,10543,10543,36813,589714,151221,2675162,1244744,225,225,57,179,0,46,10543,10688,4954,5204,10530,67,0.0290527344,2944,1957,26087,,4952,10524,7,1,949,
https://www.samsung.com/au/smartphones/galaxy-s23/,https://www.webpagetest.org/results.php?test=230206_BiDc9N_5WE,9420,10650,10650,36689,595207,152160,2648851,1218695,225,225,57,179,0,46,10650,10765,4238,4478,10632,67,0.0290527344,3142,1838,25524,,4237,10619,7,1,831,
https://www.samsung.com/au/smartphones/galaxy-s23/,https://www.webpagetest.org/results.php?test=230206_BiDcAK_5W6,9303,10470,10470,37460,597076,156209,2649144,1218674,225,225,59,179,0,46,10470,10584,4668,4975,10456,67,0.0290527344,3119,1900,25391,,4667,10447,7,1,836,
https://www.samsung.com/au/smartphones/galaxy-s23/,https://www.webpagetest.org/results.php?test=230206_AiDcPM_5WR,10276,10538,10538,37937,590737,153291,2652357,1218683,225,225,60,179,0,46,10538,10665,4415,4704,10528,66,0.0290527344,2909,2065,25706,,4412,10517,7,1,1019,
https://www.samsung.com/au/smartphones/galaxy-s23-ultra/buy/,https://www.webpagetest.org/results.php?test=230206_BiDcYJ_5W2,13528,14775,14775,39350,660421,164616,2891430,1407704,247,247,60,199,0,48,14775,14857,8496,8981,14737,70,0.0518798828,11522,4497,,,8496,14727,4,1,833,
https://www.samsung.com/au/smartphones/galaxy-s23-ultra/buy/,https://www.webpagetest.org/results.php?test=230206_BiDcQP_5WZ,13564,11008,11008,38751,673419,108560,2888525,1396258,248,248,44,200,0,48,11008,11051,8993,9619,10970,67,0.39778645830000003,11657,3886,,,8993,10960,4,1,988,
https://www.samsung.com/au/smartphones/galaxy-s23-ultra/,https://www.webpagetest.org/results.php?test=230206_AiDcYS_5WZ,9801,10495,10495,37698,595843,152391,2674977,1244747,225,225,57,179,0,46,10495,10626,4402,4658,10480,67,0.0290527344,2856,1868,26023,,4401,10469,7,1,836,
https://www.samsung.com/au/smartphones/galaxy-s23/buy/,https://www.webpagetest.org/results.php?test=230206_AiDcKB_5X7,15243,14442,14442,39793,655428,169017,2795662,1390643,246,246,60,199,0,47,14442,14569,7573,8185,14408,68,0.0518798828,10478,2229,,,7573,14395,4,1,826,
https://www.samsung.com/au/smartphones/galaxy-s23/buy/,https://www.webpagetest.org/results.php?test=230206_BiDc89_5VZ,14542,14188,14188,40914,675845,174476,2884275,1393646,248,248,62,201,0,47,14188,14276,7559,8223,14148,70,0.067993164,10610,2336,,,7558,14135,4,1,1045,
https://www.samsung.com/au/smartphones/galaxy-s23/buy/,https://www.webpagetest.org/results.php?test=230206_BiDcAS_5WX,14198,14860,14860,39839,679116,181662,2883832,1394855,249,249,66,201,0,48,14860,14933,9274,9962,14815,69,0.39778645830000003,11946,2401,30811,,9274,14806,4,1,955,
https://www.samsung.com/au/smartphones/galaxy-s23-ultra/buy/,https://www.webpagetest.org/results.php?test=230206_AiDcR2_5WW,13523,14472,14472,37676,661089,158127,2888709,1405816,246,246,57,199,0,47,14472,14578,7768,8423,14435,69,0.0518798828,11077,3640,,,7768,14423,4,1,840,
https://www.samsung.com/au/smartphones/galaxy-s23/buy/,https://www.webpagetest.org/results.php?test=230206_BiDcKB_5WN,14382,13575,13575,37697,685357,165611,2884012,1393009,249,249,59,202,0,47,13575,13677,7492,8069,13533,68,0.067993164,10207,2208,,,7491,13521,4,1,847,
https://www.samsung.com/au/smartphones/galaxy-s23/buy/,https://www.webpagetest.org/results.php?test=230206_BiDc8P_5X0,15324,14084,14084,41036,672189,161812,2884440,1392961,249,249,58,201,0,48,14084,14183,7582,8201,14054,69,0.39778645830000003,10540,2505,,,7582,14036,4,1,995,
https://www.samsung.com/au/smartphones/galaxy-s23/buy/,https://www.webpagetest.org/results.php?test=230206_BiDcGT_5VY,14697,14081,14081,39219,679618,169218,2886639,1393321,249,249,60,202,0,47,14081,14170,7669,8267,14032,68,0.39778645830000003,10648,2430,,,7668,14017,4,1,1051,
https://www.samsung.com/au/smartphones/galaxy-s23/buy/,https://www.webpagetest.org/results.php?test=230206_BiDc0Q_5WH,14319,14123,14123,40792,683931,183868,2884085,1394234,249,249,67,201,0,48,14123,14220,7557,8226,14082,69,0.39778645830000003,10611,2249,29396,,7557,14068,4,1,834,
https://www.samsung.com/au/smartphones/galaxy-z-fold4/,https://www.webpagetest.org/results.php?test=230206_BiDcT9_5WT,13318,14379,14379,39399,561151,215479,2738795,1471002,216,216,73,170,2,44,14379,14461,4012,4248,14358,66,0.0290527344,3283,2218,30507,,4012,14349,7,1,825,
https://www.samsung.com/au/smartphones/galaxy-z-fold4/,https://www.webpagetest.org/results.php?test=230206_AiDcTP_5WK,13657,14634,14634,43683,658634,219424,2901469,1472495,241,241,76,193,2,46,14634,14710,4452,4705,14621,67,0.0290527344,3580,2470,30373,30373,4451,14609,7,1,1085,
https://www.samsung.com/au/smartphones/galaxy-z-fold4/,https://www.webpagetest.org/results.php?test=230206_AiDcV2_5X6,14255,15978,15978,45254,659800,256169,2861788,1435438,240,240,89,193,1,46,15978,16076,8186,8527,15976,66,0.0290527344,3464,2321,30816,44638,8184,15962,7,2,1065,
https://www.samsung.com/au/smartphones/galaxy-z-fold4/,https://www.webpagetest.org/results.php?test=230206_BiDcTZ_5WS,14206,13926,13926,44841,649054,203658,2861927,1434473,240,240,69,193,1,46,13926,14008,4150,4378,13905,66,0.029363781199999998,3559,2206,30843,44225,4150,13896,7,1,828,
https://www.samsung.com/au/smartphones/galaxy-z-fold4/,https://www.webpagetest.org/results.php?test=230206_BiDc8G_5WP,14077,16065,16065,45863,659821,274399,2862658,1436504,240,240,97,193,1,46,16065,16120,8077,8402,16041,67,0.0290527344,3372,2410,30318,,8069,16033,7,2,1014,
https://www.samsung.com/au/smartphones/galaxy-z-fold4/,https://www.webpagetest.org/results.php?test=230206_AiDcMM_5WQ,14621,16964,16964,46070,672569,293208,2901945,1472691,241,241,102,193,2,46,16964,17052,8115,8436,16941,66,0.0290527344,3291,2108,32698,,8115,16927,7,2,829,
https://www.samsung.com/au/smartphones/galaxy-z-fold4/,https://www.webpagetest.org/results.php?test=230206_AiDcCV_5X0,14807,12352,12352,45125,668104,182923,2861532,1424213,240,240,64,193,1,46,12352,12446,8279,8593,12335,64,0.0290527344,3605,2359,29979,44578,8279,12328,7,2,1018,
