url, result, TBT, loadtime, docTime, fullyLoaded, bytesOut, bytesOutDoc, bytesIn, bytesInDoc, requests, requestaFull, requestsDoc, responses_200, responses_404, responses_other, chromeUserTiming.loadEventStart, chromeUserTiming.loadEventEnd, chromeUserTiming.domContentLoadedEventStart, chromeUserTiming.domContentLoadedEventEnd, chromeUserTiming.domComplete, connections,chromeUserTiming.CumulativeLayoutShift, chromeUserTiming.LargestContentfulPaint, chromeUserTiming.firstContentfulPaint, FirstInteractive, TimeToInteractive, chromeUserTiming.domInteractive, domComplete, renderBlockingCSS, renderBlockingJS, TTFB
https://www.samsung.com/uk/smartphones/galaxy-s23-ultra/,https://www.webpagetest.org/results.php?test=230203_BiDcTR_5D9,7982,19243,19243,35567,961258,423323,3418841,2434012,398,398,176,228,0,170,19243,19411,6233,6470,19216,84,0.3028436899,5286,3038,34292,34292,6233,19205,6,0,836,
https://www.samsung.com/uk/smartphones/galaxy-s23-ultra/,https://www.webpagetest.org/results.php?test=230203_BiDcNQ_5DC,8719,19894,19894,38192,953052,381956,3420950,2434144,397,397,158,228,0,169,19894,19962,6624,6843,19861,83,0.3028436899,4987,3222,36762,36762,6617,19851,6,0,867,
https://www.samsung.com/uk/smartphones/galaxy-s23-ultra/,https://www.webpagetest.org/results.php?test=230203_AiDcER_55X,9079,20825,20825,38514,967940,457317,3398687,2434745,402,402,189,231,0,171,20825,21017,6661,6890,20788,86,0.3028436899,5167,3688,37099,37099,6661,20779,6,0,837,
https://www.samsung.com/uk/smartphones/galaxy-s23/,https://www.webpagetest.org/results.php?test=230203_AiDc89_55Y,8089,19561,19561,36950,958392,404335,3370300,2407050,397,397,166,228,0,169,19561,19705,6288,6513,19518,84,0.3028436899,3811,2818,,,6286,19507,6,0,857,
https://www.samsung.com/uk/smartphones/galaxy-s23/,https://www.webpagetest.org/results.php?test=230203_AiDc72_568,8886,20093,20093,37420,949930,401137,3391181,2406732,398,398,166,228,0,170,20093,20171,6155,6426,20078,83,0.3028436899,3945,3304,36006,36006,6154,20064,6,0,837,
https://www.samsung.com/uk/smartphones/galaxy-s23/,https://www.webpagetest.org/results.php?test=230203_BiDc60_5DE,8939,20090,20090,37617,953963,428461,3390577,2407250,399,399,178,228,0,171,20090,20274,6523,6748,20048,83,0.3028436899,3803,3161,36284,36284,6523,20034,6,0,1002,
https://www.samsung.com/uk/smartphones/galaxy-s23/buy/,https://www.webpagetest.org/results.php?test=230203_AiDcV4_56J,11247,23544,23544,45576,1077962,431621,3697536,2685449,421,421,173,242,0,179,23544,23604,8869,9357,23479,89,0.0444335938,29919,4262,,,8869,23463,3,0,836,
https://www.samsung.com/uk/smartphones/galaxy-s23/,https://www.webpagetest.org/results.php?test=230203_AiDcBF_569,8797,19975,19975,37952,946748,405576,3392130,2408767,399,399,171,228,0,171,19975,20070,6440,6684,19952,85,0.3028436899,3763,3117,36717,36717,6438,19943,6,0,839,
https://www.samsung.com/uk/smartphones/galaxy-s23/,https://www.webpagetest.org/results.php?test=230203_BiDcF1_5DD,9026,20101,20101,37413,957927,399478,3392745,2408701,400,400,166,228,0,172,20101,20285,6517,6778,20069,86,0.3028436899,4277,3495,,,6515,20056,6,0,837,
https://www.samsung.com/uk/smartphones/galaxy-s23-ultra/buy/,https://www.webpagetest.org/results.php?test=230203_BiDc33_5D4,12045,24319,24319,43950,1083538,435760,3727944,2715599,419,419,172,244,0,175,24319,24377,8850,9382,24210,88,0.0538024902,30719,4108,42593,42593,8850,24193,3,0,836,
