url, result, TBT, loadtime, docTime, fullyLoaded, bytesOut, bytesOutDoc, bytesIn, bytesInDoc, requests, requestaFull, requestsDoc, responses_200, responses_404, responses_other, chromeUserTiming.loadEventStart, chromeUserTiming.loadEventEnd, chromeUserTiming.domContentLoadedEventStart, chromeUserTiming.domContentLoadedEventEnd, chromeUserTiming.domComplete, connections,chromeUserTiming.CumulativeLayoutShift, chromeUserTiming.LargestContentfulPaint, chromeUserTiming.firstContentfulPaint, FirstInteractive, TimeToInteractive, chromeUserTiming.domInteractive, domComplete, renderBlockingCSS, renderBlockingJS, TTFB
https://www.samsung.com/uk/no_ga/smartphones/galaxy-z-fold4/buy/,https://www.webpagetest.org/results.php?test=230105_AiDc10_4MX,7674,20281,20281,37465,954518,493873,2937086,2013631,390,390,205,224,0,166,20281,20319,8958,9524,20212,83,0.0243759155,4443,2320,33728,33728,8724,20202,3,0,1203,
https://www.samsung.com/uk/no_ga/smartphones/galaxy-z-fold4/buy/,https://www.webpagetest.org/results.php?test=230105_AiDc36_4MY,7570,23535,23535,37829,969867,519603,3615121,2691604,391,391,210,227,0,164,23535,23571,9269,9859,23504,83,0.0243759155,3914,2679,,,8788,23494,3,0,1505,
https://www.samsung.com/uk/no_ga/smartphones/galaxy-z-fold4/buy/,https://www.webpagetest.org/results.php?test=230105_AiDcHQ_4MZ,10771,24419,24419,39255,967142,505621,3614775,2691645,393,393,208,227,0,166,24419,24471,9227,9820,24348,83,0.0243759155,3348,2606,,,8241,24333,3,0,1200,
https://www.samsung.com/uk/no_ga/smartphones/galaxy-z-fold4/buy/,https://www.webpagetest.org/results.php?test=230105_AiDc58_4MN,10902,24170,24170,38736,961374,512843,3614864,2688918,391,391,215,227,0,164,24170,24221,9040,9595,24087,82,0.0243759155,2966,2352,,,8032,24079,3,0,1192,
https://www.samsung.com/uk/no_ga/,https://www.webpagetest.org/results.php?test=230105_AiDcBB_4MP,4579,17410,17410,25755,821292,473249,2197094,1566660,342,342,197,185,0,157,17410,17449,4488,4803,17382,72,0,3046,2089,,,4486,17361,13,0,1193,
https://www.samsung.com/uk/no_ga/,https://www.webpagetest.org/results.php?test=230105_AiDcB5_4N4,4793,17548,17548,25772,807386,462795,2197423,1566727,341,341,195,185,0,156,17548,17573,4587,4901,17517,70,0,2872,2045,,,4586,17509,13,0,1193,
https://www.samsung.com/uk/no_ga/,https://www.webpagetest.org/results.php?test=230105_AiDcKP_4MR,4567,17651,17651,25475,817880,472656,2198822,1566761,341,341,198,185,0,156,17651,17678,4934,5223,17622,69,0,3059,2176,,,4934,17612,13,0,1285,
https://www.samsung.com/uk/no_ga/smartphones/galaxy-z-fold4/,https://www.webpagetest.org/results.php?test=230105_AiDcD2_4MW,9327,21318,21318,35762,883985,462755,2763126,1897238,366,366,185,204,2,160,21318,21346,6168,6361,21282,75,0.0351104736,3486,2430,30908,30908,6168,21269,6,0,1190,
https://www.samsung.com/uk/no_ga/smartphones/galaxy-z-fold4/,https://www.webpagetest.org/results.php?test=230105_AiDcZK_4MV,9764,21150,21150,37342,884216,469369,2764705,1897348,370,370,184,204,2,164,21150,21190,5823,6039,21125,75,0.0351104736,3635,2480,31537,31537,5822,21117,6,0,1181,
https://www.samsung.com/uk/no_ga/smartphones/galaxy-z-fold4/,https://www.webpagetest.org/results.php?test=230105_AiDcQK_4N3,9693,21676,21676,35343,953091,489493,2820783,1897406,382,382,196,215,2,165,21676,21703,4134,4347,21641,75,0.0351104736,3527,2582,34238,34238,4134,21633,6,0,1190,
https://www.samsung.com/uk/no_ga/smartphones/galaxy-z-fold4/,https://www.webpagetest.org/results.php?test=230105_AiDc2G_4MK,11649,23072,23072,38701,946047,485737,2820545,1897436,382,382,199,215,2,165,23072,23108,5962,6182,23034,76,0.0351104736,3860,2800,37532,37532,5962,23022,6,0,1555,
