url, result, TBT, loadtime, docTime, fullyLoaded, bytesOut, bytesOutDoc, bytesIn, bytesInDoc, requests, requestaFull, requestsDoc, responses_200, responses_404, responses_other, chromeUserTiming.loadEventStart, chromeUserTiming.loadEventEnd, chromeUserTiming.domContentLoadedEventStart, chromeUserTiming.domContentLoadedEventEnd, chromeUserTiming.domComplete, connections,chromeUserTiming.CumulativeLayoutShift, chromeUserTiming.LargestContentfulPaint, chromeUserTiming.firstContentfulPaint, FirstInteractive, TimeToInteractive, chromeUserTiming.domInteractive, domComplete, renderBlockingCSS, renderBlockingJS, TTFB
https://www.samsung.com/uk/no_ga/smartphones/galaxy-z-fold4/buy/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230105_AiDcN1_5E0,7910,23509,23509,32739,871405,497267,3263145,2707732,358,358,200,201,0,157,23509,23551,8737,9428,23430,78,0.0243759155,4510,2395,,,8448,23426,3,0,1194,
https://www.samsung.com/uk/no_ga/smartphones/galaxy-z-fold4/buy/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230105_AiDcAM_5E1,6171,23962,23962,33844,884514,523649,3268524,2714583,363,363,212,203,0,160,23962,24018,9579,10137,23900,80,0.0243759155,3642,3061,,,8894,23885,3,0,1900,
https://www.samsung.com/uk/no_ga/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230105_AiDcXY_5E6,5486,17490,17490,26675,822127,454945,2197368,1566790,340,340,184,185,0,155,17490,17536,7164,7463,17459,70,0,4355,2403,,,7160,17445,13,0,1509,
https://www.samsung.com/uk/no_ga/smartphones/galaxy-z-fold4/buy/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230105_AiDcPQ_5EA,6911,23996,23996,33834,857898,482819,3263167,2707795,357,357,197,200,0,157,23996,24056,9402,10066,23933,77,0.0243759155,3124,2474,,,9163,23924,3,0,1327,
https://www.samsung.com/uk/no_ga/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230105_AiDc46_5E4,5092,17859,17859,26890,821840,464221,2194596,1627530,341,341,190,185,0,156,17859,17892,4484,4849,17819,73,0.0007593632,2857,2097,,,4483,17808,13,0,1206,
https://www.samsung.com/uk/no_ga/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230105_AiDc1V_5DW,4566,18121,18121,25926,851776,483695,2194430,1564161,343,343,203,186,0,157,18121,18159,5904,6166,18099,71,0,4759,2207,,,5904,18092,13,0,1263,
https://www.samsung.com/uk/no_ga/smartphones/galaxy-z-fold4/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230105_AiDc7E_5E5,10367,22849,22849,31384,853529,493419,2449451,1896781,350,350,198,191,2,157,22849,22877,7639,7888,22821,72,0.0351104736,3550,2469,,,7639,22808,6,0,1189,
https://www.samsung.com/uk/no_ga/smartphones/galaxy-z-fold4/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230105_AiDcB1_5DY,10086,22826,22826,32049,850841,486121,2452189,1899267,350,350,196,191,2,157,22826,22885,6069,6239,22790,72,0.0351104736,3696,2491,,,6069,22781,6,0,1269,
https://www.samsung.com/uk/no_ga/smartphones/galaxy-z-fold4/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230105_AiDcHB_5EB,10778,23282,23282,32249,868678,504752,2450190,1897577,352,352,200,191,2,159,23282,23317,5776,5978,23245,72,0.0351104736,3675,2588,,,5776,23236,6,0,1307,
https://www.samsung.com/uk/no_ga/smartphones/galaxy-z-fold4/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230105_AiDc4R_5E2,10494,23145,23145,32015,864785,498678,2450393,1897578,350,350,198,191,2,157,23145,23176,5748,5999,23108,72,0.0351104736,3510,2439,,,5740,23101,6,0,1225,
https://www.samsung.com/uk/no_ga/smartphones/galaxy-z-fold4/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230105_AiDcYS_5DZ,8491,21353,21353,30379,861245,478811,2437785,1884993,350,350,188,191,2,157,21353,21392,4450,4654,21321,71,0.0351104736,3789,2890,,,4450,21313,6,0,1465,
https://www.samsung.com/uk/no_ga/smartphones/galaxy-z-fold4/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230105_AiDc5N_5E3,8634,21854,21854,30734,860224,496256,2451947,1899306,352,352,197,191,2,159,21854,21888,4180,4372,21819,73,0.0351104736,3617,2601,,,4178,21807,6,0,1203,
