url, result, loadtime, docTime, fullyLoaded, bytesOut, bytesOutDoc, bytesIn, bytesInDoc, requests, requestaFull, requestsDoc, responses_200, responses_404, responses_other, chromeUserTiming.loadEventStart, chromeUserTiming.loadEventEnd, chromeUserTiming.domContentLoadedEventStart, chromeUserTiming.domContentLoadedEventEnd, chromeUserTiming.domComplete, connections,chromeUserTiming.CumulativeLayoutShift, chromeUserTiming.LargestContentfulPaint, chromeUserTiming.firstContentfulPaint, FirstInteractive, TimeToInteractive, chromeUserTiming.domInteractive, domComplete, renderBlockingCSS, renderBlockingJS, TTFB
https://www.samsung.com/uk/ss_ga4/smartphones/galaxy-z-fold4/buy/?cookie=consent,https://www.webpagetest.org/results.php?test=221222_BiDcEJ_5GN,23055,23055,32748,851881,555853,2959381,2728932,359,359,224,190,0,169,23055,23116,9074,9597,22991,81,0.0243759155,3482,2532,,,7645,22981,3,0,1122,
https://www.samsung.com/uk/smartphones/galaxy-z-fold4/buy/?cookie=consent,https://www.webpagetest.org/results.php?test=221222_BiDcQH_5FT,27602,27602,42311,1021567,608933,3852080,3348760,407,407,228,238,0,169,27602,27660,7521,8156,27521,94,0.0393066406,4657,4294,,,7521,27508,3,0,867,
https://www.samsung.com/uk/smartphones/galaxy-z-fold4/buy/?cookie=consent,https://www.webpagetest.org/results.php?test=221222_BiDcM7_5FX,26904,26904,40582,976888,543766,3802116,3298443,404,404,215,235,0,169,26904,26935,7660,8111,26813,92,0.0393066406,4601,4370,,,7659,26799,3,0,881,
https://www.samsung.com/uk/ss_ga4/smartphones/galaxy-z-fold4/buy/?cookie=consent,https://www.webpagetest.org/results.php?test=221222_BiDcT0_5FV,25910,25910,36555,835994,522270,3494376,3260926,360,360,211,192,0,168,25910,26045,8996,9583,25825,85,0.0243759155,3234,2412,34864,34864,7447,25811,3,0,847,
https://www.samsung.com/uk/ss_ga4/smartphones/galaxy-z-fold4/buy/?cookie=consent,https://www.webpagetest.org/results.php?test=221222_BiDc7M_5GM,26199,26199,36237,851078,549106,3672697,3442183,360,360,221,192,0,168,26199,26276,8867,9417,26107,85,0.0243759155,3311,2461,34586,34586,7463,26092,3,0,901,
https://www.samsung.com/uk/ss_ga4/?cookie=consent,https://www.webpagetest.org/results.php?test=221222_AiDc38_5FN,18578,18578,30019,784994,467626,2341919,2154561,339,339,188,175,0,164,18578,18615,5728,6050,18535,73,0,5699,2397,25877,25877,5726,18517,13,0,865,
https://www.samsung.com/uk/ss_ga4/?cookie=consent,https://www.webpagetest.org/results.php?test=221222_AiDc2B_5F4,19628,19628,30204,805432,502515,2333644,2148968,341,341,202,176,0,165,19628,19672,6101,6429,19599,74,0,5222,2724,27215,27215,6099,19590,13,0,866,
https://www.samsung.com/uk/?cookie=consent,https://www.webpagetest.org/results.php?test=221222_AiDcFD_5FA,20416,20416,31287,881272,537709,2598205,2140709,375,375,221,207,0,168,20416,20461,7074,7525,20378,81,0.0290527344,4629,4479,,,7074,20365,13,0,1085,
https://www.samsung.com/uk/smartphones/galaxy-z-fold4/buy/?cookie=consent,https://www.webpagetest.org/results.php?test=221222_AiDcPV_5F7,27088,27088,40304,986314,563579,3789059,3281167,407,407,225,236,0,171,27088,27157,7854,8404,27013,94,0.0393066406,4861,4495,,,7852,27004,3,0,1090,
https://www.samsung.com/uk/cs_ga3/?cookie=consent,https://www.webpagetest.org/results.php?test=221222_AiDc95_5F5,20112,20112,33363,903035,497168,2716568,2149012,378,378,201,211,0,167,20112,20151,5926,6282,20080,81,0,5285,2766,,,5924,20071,13,0,1171,
https://www.samsung.com/uk/cs_ga3/?cookie=consent,https://www.webpagetest.org/results.php?test=221222_AiDc66_5G9,21314,21314,32598,907960,516508,2723014,2155846,377,377,212,211,0,166,21314,21364,6974,7334,21272,78,0,6789,3905,,,6973,21261,13,0,1182,
https://www.samsung.com/uk/ss_ga4/smartphones/galaxy-z-fold4/?cookie=consent,https://www.webpagetest.org/results.php?test=221222_BiDcXJ_5GE,25229,25229,36804,827029,521815,2651820,2421238,353,353,209,184,2,167,25229,25281,6085,6352,25184,74,0.0351104736,5501,2602,34869,34869,6084,25175,6,0,871,
https://www.samsung.com/uk/cs_ga3/smartphones/galaxy-z-fold4/?cookie=consent,https://www.webpagetest.org/results.php?test=221222_BiDcHS_5GT,26647,26647,40176,962108,523643,3028464,2414754,397,397,211,226,2,169,26647,26694,6139,6446,26610,81,0.0351104736,5404,2379,,,6135,26598,6,0,852,
https://www.samsung.com/uk/smartphones/galaxy-z-fold4/?cookie=consent,https://www.webpagetest.org/results.php?test=221222_AiDc7X_5F3,24084,24084,37493,923893,473319,2927306,2463044,386,386,181,217,2,167,24084,24129,6512,6727,24047,80,0.0351104736,5601,4683,,,6510,24037,6,0,889,
https://www.samsung.com/uk/smartphones/galaxy-z-fold4/?cookie=consent,https://www.webpagetest.org/results.php?test=221222_BiDc37_5G6,24397,24397,37620,924880,489768,2921363,2457638,386,386,190,217,2,167,24397,24437,7020,7208,24355,79,0.0351104736,6107,5150,36394,36394,7020,24346,6,0,1063,
https://www.samsung.com/uk/cs_ga3/smartphones/galaxy-z-fold4/buy/?cookie=consent,https://www.webpagetest.org/results.php?test=221222_BiDcP9_5GY,26503,26503,40727,976466,543888,4053644,3438474,402,402,217,233,0,169,26503,26548,9106,9615,26424,90,0.0243759155,3709,2997,,,7853,26413,3,0,871,
https://www.samsung.com/uk/cs_ga3/smartphones/galaxy-z-fold4/?cookie=consent,https://www.webpagetest.org/results.php?test=221222_BiDcCN_5GW,23801,23801,39884,957482,458439,3029075,2417208,390,390,175,221,2,167,23801,23854,6216,6428,23759,79,0.0351104736,5423,2248,37094,37094,6216,23748,6,0,922,
https://www.samsung.com/uk/smartphones/galaxy-z-fold4/?cookie=consent,https://www.webpagetest.org/results.php?test=221222_BiDcZR_5G0,24620,24620,37514,917329,476071,2871191,2406855,384,384,186,215,2,167,24620,24665,6382,6591,24576,80,0.0351104736,5618,4719,36104,36104,6382,24564,6,0,926,
https://www.samsung.com/uk/ss_ga4/smartphones/galaxy-z-fold4/?cookie=consent,https://www.webpagetest.org/results.php?test=221222_AiDcWY_5FV,25378,25378,37898,823507,445449,2644930,2413695,350,350,172,181,2,167,25378,25431,6511,6762,25333,76,0.0351104736,5497,2159,32819,32819,6511,25317,6,0,878,
