url, result, TBT, loadtime, docTime, fullyLoaded, bytesOut, bytesOutDoc, bytesIn, bytesInDoc, requests, requestaFull, requestsDoc, responses_200, responses_404, responses_other, chromeUserTiming.loadEventStart, chromeUserTiming.loadEventEnd, chromeUserTiming.domContentLoadedEventStart, chromeUserTiming.domContentLoadedEventEnd, chromeUserTiming.domComplete, connections,chromeUserTiming.CumulativeLayoutShift, chromeUserTiming.LargestContentfulPaint, chromeUserTiming.firstContentfulPaint, FirstInteractive, TimeToInteractive, chromeUserTiming.domInteractive, domComplete, renderBlockingCSS, renderBlockingJS, TTFB
https://www.samsung.com/uk/smartphones/galaxy-s23/,https://www.webpagetest.org/results.php?test=230206_AiDc42_5V4,10500,19544,19544,38553,961616,394595,3333360,2346329,399,399,161,228,0,171,19544,19645,6593,6888,19503,86,0.3028436899,2897,2029,37115,37115,6593,19492,6,0,835,
https://www.samsung.com/uk/smartphones/galaxy-z-fold4/,https://www.webpagetest.org/results.php?test=230206_BiDcG6_5TQ,13764,22755,22755,41402,1014525,442408,3348349,2366710,409,409,172,239,2,168,22755,22790,7078,7265,22715,83,0.0351104736,3695,2696,40284,40284,7078,22702,6,0,1003,
https://www.samsung.com/uk/smartphones/galaxy-s23/,https://www.webpagetest.org/results.php?test=230206_AiDcQ3_5VV,10670,19259,19259,37414,968130,437612,3330596,2346785,400,400,182,228,0,172,19259,19350,6663,6935,19223,84,0.3028436899,2928,1958,36075,36075,6663,19218,6,0,853,
https://www.samsung.com/uk/smartphones/galaxy-s23-ultra/,https://www.webpagetest.org/results.php?test=230206_AiDcA8_5V5,9993,20983,20983,37715,966834,445935,3357522,2374300,400,400,183,229,0,171,20983,21151,7543,7797,20957,86,0.3028436899,4776,2099,36369,36369,7543,20947,6,0,1080,
https://www.samsung.com/uk/smartphones/galaxy-s23-ultra/,https://www.webpagetest.org/results.php?test=230206_BiDcZT_5V1,10244,19304,19304,36885,962374,395799,3358058,2373796,398,398,162,228,0,170,19304,19488,6787,6956,19269,84,0.3028436899,3114,1947,35508,35508,6787,19258,6,0,910,
https://www.samsung.com/uk/smartphones/galaxy-s23-ultra/,https://www.webpagetest.org/results.php?test=230206_AiDcWA_5VA,10596,18952,18952,35453,960550,385420,3156880,2171460,395,395,154,226,0,169,18952,19026,7250,7493,18916,82,0.0735414293,4099,1945,34101,34101,7247,18901,6,0,838,
https://www.samsung.com/uk/smartphones/galaxy-s23/buy/,https://www.webpagetest.org/results.php?test=230206_BiDcVN_5TR,12820,21939,21939,44082,1110800,412763,3313449,2295688,420,420,161,241,0,179,21939,22002,7670,8270,21859,82,0.2998441537,28784,2555,39901,39901,7669,21842,3,0,1149,
https://www.samsung.com/uk/smartphones/galaxy-s23-ultra/,https://www.webpagetest.org/results.php?test=230206_BiDcTF_5V5,10368,20790,20790,37883,968090,453046,3359797,2374875,402,402,187,230,0,172,20790,20973,7183,7404,20754,83,0.3028436899,3681,2595,36448,36448,7183,20742,6,0,1465,
https://www.samsung.com/uk/smartphones/galaxy-s23/,https://www.webpagetest.org/results.php?test=230206_AiDcCN_5VC,11038,20010,20010,37994,961659,409705,3333447,2346970,400,400,169,228,0,172,20010,20102,7131,7406,19976,87,0.3028436899,2600,1928,36593,36593,7130,19960,6,0,870,
https://www.samsung.com/uk/smartphones/galaxy-s23/buy/,https://www.webpagetest.org/results.php?test=230206_AiDcBZ_5VN,13566,23760,23760,49600,1121145,430608,3599563,2581063,437,437,168,251,0,186,23760,23804,7514,8135,23656,87,0.3164575974,30288,2279,41423,41423,7514,23646,3,0,915,
https://www.samsung.com/uk/smartphones/galaxy-s23/,https://www.webpagetest.org/results.php?test=230206_BiDc8F_5VD,10089,20648,20648,37849,969786,456564,3333973,2347483,403,403,189,230,0,173,20648,20853,7263,7482,20630,84,0.3028436899,2602,1903,36635,36635,7263,20611,6,0,864,
https://www.samsung.com/uk/smartphones/galaxy-z-fold4/buy/,https://www.webpagetest.org/results.php?test=230206_BiDc4E_5TP,12701,22080,22080,42323,1069782,482819,3636487,2536823,430,430,185,258,0,172,22080,22162,8683,9280,21988,93,0.0372714245,2590,2096,40981,40981,8682,21977,3,0,851,
