url, result, TBT, loadtime, docTime, fullyLoaded, bytesOut, bytesOutDoc, bytesIn, bytesInDoc, requests, requestaFull, requestsDoc, responses_200, responses_404, responses_other, chromeUserTiming.loadEventStart, chromeUserTiming.loadEventEnd, chromeUserTiming.domContentLoadedEventStart, chromeUserTiming.domContentLoadedEventEnd, chromeUserTiming.domComplete, connections,chromeUserTiming.CumulativeLayoutShift, chromeUserTiming.LargestContentfulPaint, chromeUserTiming.firstContentfulPaint, FirstInteractive, TimeToInteractive, chromeUserTiming.domInteractive, domComplete, renderBlockingCSS, renderBlockingJS, TTFB, html_bytes, html_request, js_bytes, js_request, css_bytes, css_request, image_bytes, image_request, flash_bytes, flash_request, fort_bytes, font_request, video_bytes, video_request, other_bytes, other_request
https://www.samsung.com/in/smartphones/galaxy-s23/buy/,https://www.webpagetest.org/results.php?test=230613_AiDcA3_11B,4641,7595,7595,13952,227063,109411,2033648,1299502,87,87,40,83,0,4,7595,7624,3599,4209,7546,24,0.0153094294,2190,1501,,,3599,7543,5,0,647,52000,4,1212297,33,87232,5,157453,16,0,0,434748,3,0,0,89918,25,
https://www.samsung.com/in/smartphones/galaxy-s23/buy/,https://www.webpagetest.org/results.php?test=230613_AiDcN1_118,4755,7593,7593,14044,226355,111650,2033657,1302265,87,87,41,83,0,4,7593,7633,3483,4147,7537,24,0.015809798899999998,1808,1358,,,3481,7521,5,0,420,52007,4,1212297,33,87232,5,157453,16,0,0,434748,3,0,0,89920,25,
https://www.samsung.com/in/smartphones/galaxy-s23/buy/,https://www.webpagetest.org/results.php?test=230613_AiDc03_11G,4395,6840,6840,13438,227015,113403,2033649,1459314,87,87,42,83,0,4,6840,6849,3284,3762,6796,23,0.015809798899999998,1607,1289,,,3277,6786,5,0,420,52005,4,1212297,33,87232,5,157453,16,0,0,434748,3,0,0,89914,25,
https://www.samsung.com/in/smartphones/galaxy-s23-ultra/buy/,https://www.webpagetest.org/results.php?test=230613_AiDcAE_11R,5331,7998,7998,15025,226421,110888,2039308,1307057,87,87,41,83,0,4,7998,8017,3378,4127,7967,24,0.0156662978,14561,1172,,,3378,7956,5,0,429,53039,4,1212297,33,95787,5,155759,16,0,0,434748,3,0,0,87678,25,
https://www.samsung.com/in/smartphones/galaxy-s23/buy/,https://www.webpagetest.org/results.php?test=230613_AiDcHP_119,4257,6865,6865,13288,227033,111437,2033653,1302262,87,87,41,83,0,4,6865,6891,3280,3800,6820,24,0.0153094294,1747,1363,,,3280,6807,5,0,413,52006,4,1212297,33,87232,5,157453,16,0,0,434748,3,0,0,89917,25,
https://www.samsung.com/in/smartphones/galaxy-s23/buy/,https://www.webpagetest.org/results.php?test=230613_AiDcK3_11C,4516,7263,7263,13640,227258,111638,2033651,1302262,87,87,41,83,0,4,7263,7301,3532,4089,7223,24,0.0153094294,1797,1398,,,3532,7222,5,0,453,52006,4,1212297,33,87232,5,157453,16,0,0,434748,3,0,0,89915,25,
https://www.samsung.com/in/mobile/,https://www.webpagetest.org/results.php?test=230613_BiDcSY_11T,5813,6659,6659,17566,700103,231242,2940143,1720992,282,282,86,222,0,60,6659,6842,3639,4095,6658,105,0.05001381590000001,1874,1040,,,3540,6644,14,0,425,58520,26,1951705,71,72441,14,387266,83,0,0,434748,3,0,0,35463,84,
https://www.samsung.com/in/smartphones/galaxy-s23-ultra/buy/,https://www.webpagetest.org/results.php?test=230613_AiDcTN_11Q,4703,7363,7363,13562,226415,110885,2039299,1307054,87,87,41,83,0,4,7363,7379,3115,3677,7332,24,0.016024976399999998,13102,1291,,,3115,7319,5,0,420,53036,4,1212297,33,95787,5,155759,16,0,0,434748,3,0,0,87672,25,
https://www.samsung.com/in/smartphones/galaxy-s23-ultra/buy/,https://www.webpagetest.org/results.php?test=230613_AiDc32_11S,4821,7718,7718,14339,227078,111548,2039287,1307045,87,87,41,83,0,4,7718,7746,3287,3887,7691,24,0.0156662978,14026,1207,,,3287,7679,5,0,415,53030,4,1212297,33,95787,5,155759,16,0,0,434748,3,0,0,87666,25,
https://www.samsung.com/in/smartphones/galaxy-s23-ultra/buy/,https://www.webpagetest.org/results.php?test=230613_AiDcB9_11K,4663,7346,7346,13576,226517,113037,2039387,1464189,87,87,42,83,0,4,7346,7362,3132,3729,7315,24,0.0156662978,13212,1294,,,3130,7298,5,0,421,53005,4,1212297,33,95787,5,155759,16,0,0,434748,3,0,0,87791,25,
https://www.samsung.com/in/smartphones/galaxy-s23-ultra/buy/,https://www.webpagetest.org/results.php?test=230613_AiDc2P_11N,4917,7488,7488,14212,226484,110924,2039318,1307063,87,87,41,83,0,4,7488,7514,3273,3904,7459,24,0.0156662978,14007,1280,,,3273,7443,5,0,420,53044,4,1212297,33,95787,5,155759,16,0,0,434748,3,0,0,87683,25,
https://www.samsung.com/in/smartphones/galaxy-s23-ultra/buy/,https://www.webpagetest.org/results.php?test=230613_AiDcP1_11M,4667,7224,7224,13464,227039,119017,2039303,1464143,87,87,43,83,0,4,7224,7238,3163,3754,7196,24,0.0156662978,13087,1092,,,3162,7186,5,0,430,53039,4,1212297,33,95787,5,155759,16,0,0,434748,3,0,0,87673,25,
https://www.samsung.com/in/live-offers/notify-me1/,https://www.webpagetest.org/results.php?test=230613_BiDcA1_11X,6283,8647,8647,18965,656093,312435,3622530,2412878,261,261,123,209,0,52,8647,8812,4082,4543,8631,83,0.0953262342,6967,1251,,,3966,8601,14,5,411,87600,27,2399291,80,101579,14,284356,59,0,0,714244,4,0,0,35460,76,
https://www.samsung.com/in/live-offers/notify-me1/,https://www.webpagetest.org/results.php?test=230613_BiDcFG_11W,6103,8063,8063,18147,653410,296387,3622463,2409938,263,263,119,209,0,54,8063,8218,3562,4034,8047,82,0.0953262342,6533,1057,,,3468,8045,14,5,420,87510,27,2399299,80,101579,14,284356,59,0,0,714244,4,0,0,35475,78,
https://www.samsung.com/in/live-offers/notify-me1/,https://www.webpagetest.org/results.php?test=230613_BiDcN0_11C,6551,8362,8362,18875,663937,300980,3624388,2409138,260,260,116,211,0,49,8362,8521,3736,4207,8338,83,0.0953262342,7009,1168,,,3623,8335,14,5,450,87428,29,2401305,80,101579,14,284356,59,0,0,714244,4,0,0,35476,73,
https://www.samsung.com/in/live-offers/notify-me1/,https://www.webpagetest.org/results.php?test=230613_AiDcVF_11F,7517,10058,10058,21135,659853,322017,3614887,2516458,262,262,129,209,0,53,10058,10242,4200,4823,10056,82,0.0953262342,8041,1114,,,4107,10047,14,5,424,87723,27,2399297,80,93794,14,284356,59,0,0,714244,4,0,0,35473,77,
https://www.samsung.com/in/mobile/,https://www.webpagetest.org/results.php?test=230613_BiDc08_11B,6700,7496,7496,19233,694138,221098,2939576,1721418,281,281,82,222,0,59,7496,7692,3986,4547,7474,106,0.0405903182,2074,1236,,,3880,7466,14,0,405,58521,26,1951697,71,72441,14,386708,83,0,0,434748,3,0,0,35461,83,
https://www.samsung.com/in/live-offers/notify-me1/,https://www.webpagetest.org/results.php?test=230613_AiDcHH_115,6712,8782,8782,19693,666015,310043,3613838,2400320,262,262,119,209,0,53,8782,8980,3820,4316,8764,82,0.0953262342,7326,1130,,,3670,8755,14,5,415,87430,27,2399314,80,93024,14,284356,59,0,0,714244,4,0,0,35470,77,
https://www.samsung.com/in/live-offers/notify-me1/,https://www.webpagetest.org/results.php?test=230613_AiDcP9_11A,6320,8422,8422,18617,648605,290269,3613907,2397602,258,258,115,209,0,49,8422,8552,3818,4298,8413,82,0.0953262342,6918,1378,,,3697,8409,14,5,454,87499,27,2399305,80,93024,14,284356,59,0,0,714244,4,0,0,35479,73,
https://www.samsung.com/in/monitors/high-resolution/uhd-uj590-32-inch-lu32j590uqwxxl/,https://www.webpagetest.org/results.php?test=230613_BiDc0H_11N,18693,22829,22829,37928,804778,358236,3671205,2563485,300,300,117,241,0,59,22829,23614,6862,8354,19209,106,0.0725546883,3063,1581,29829,29829,5990,19203,8,1,425,130128,28,2571895,78,178767,8,292602,92,0,0,434748,3,0,0,63065,89,
https://www.samsung.com/in/monitors/high-resolution/uhd-uj590-32-inch-lu32j590uqwxxl/,https://www.webpagetest.org/results.php?test=230613_BiDc5V_115,18603,22999,22999,36481,792068,348219,3662554,2554880,300,300,120,241,0,59,22999,23666,6257,7582,19501,105,0.0725546883,2439,1368,29998,29998,5494,19493,8,1,429,130040,27,2571889,78,170212,8,292603,93,0,0,434748,3,0,0,63062,90,
https://www.samsung.com/in/monitors/high-resolution/uhd-uj590-32-inch-lu32j590uqwxxl/,https://www.webpagetest.org/results.php?test=230613_BiDcX7_11H,17363,20251,20251,33060,798456,347047,3671613,2563946,301,301,121,242,0,59,20251,20999,5696,6831,17188,107,0.0725546883,2412,1272,28989,28989,4995,17187,8,1,426,130047,27,2572351,78,178767,8,292645,93,0,0,434748,3,0,0,63055,91,
https://www.samsung.com/in/live-offers/notify-me1/,https://www.webpagetest.org/results.php?test=230613_AiDc04_11D,6336,8075,8075,18693,662329,323889,3614294,2402427,263,263,126,209,0,54,8075,8211,3578,4069,8048,82,0.0953262342,6189,1206,,,3460,8037,14,5,438,87894,27,2399300,80,93024,14,284356,59,0,0,714244,4,0,0,35476,78,
https://www.samsung.com/in/monitors/high-resolution/uhd-uj590-32-inch-lu32j590uqwxxl/,https://www.webpagetest.org/results.php?test=230613_BiDc3J_11K,19528,25350,25350,40747,795530,338991,3744939,2560549,300,300,117,242,0,58,25350,26238,6398,8122,21045,108,0.0725546883,2303,1337,29586,29586,5419,21042,8,1,442,129864,27,2645854,79,178767,8,292645,93,0,0,434748,3,0,0,63061,89,
https://www.samsung.com/in/mobile/,https://www.webpagetest.org/results.php?test=230613_BiDcHH_117,6164,6938,6938,18096,689870,219724,2940144,1721963,282,282,82,222,0,60,6938,7087,3765,4257,6932,106,0.0405903182,1958,1067,,,3662,6929,14,0,459,58521,26,1951713,71,72441,14,387266,83,0,0,434748,3,0,0,35455,84,
https://www.samsung.com/in/live-offers/notify-me1/,https://www.webpagetest.org/results.php?test=230613_AiDc40_117,6596,8742,8742,19619,661881,311442,3614003,2402506,259,259,120,209,0,50,8742,8911,3818,4314,8717,83,0.0953262342,6888,1253,,,3713,8706,14,5,417,87601,27,2399304,80,93024,14,284356,59,0,0,714244,4,0,0,35474,74,
https://www.samsung.com/in/mobile/,https://www.webpagetest.org/results.php?test=230613_BiDcHY_11F,6276,7104,7104,18297,693650,217797,2939697,1720947,279,279,81,221,0,58,7104,7245,3824,4401,7099,104,0.04953835920000001,1922,1168,,,3695,7098,14,0,448,58209,25,1951624,71,72441,14,387198,82,0,0,434748,3,0,0,35477,83,
https://www.samsung.com/in/mobile/,https://www.webpagetest.org/results.php?test=230613_AiDc0E_114,5920,6937,6937,17906,705339,236187,2931446,1712435,280,280,84,221,0,59,6937,7093,4001,4494,6930,104,0.0494625179,2116,1204,,,3909,6921,14,0,452,58517,25,1951630,71,63886,14,387198,82,0,0,434748,3,0,0,35467,84,
https://www.samsung.com/in/monitors/high-resolution/uhd-uj590-32-inch-lu32j590uqwxxl/,https://www.webpagetest.org/results.php?test=230613_BiDc6V_11P,18158,21893,21893,35019,795187,352723,3671246,2565640,299,299,124,241,0,58,21893,22555,5677,7040,18714,107,0.0725546883,2279,1251,29715,29715,4881,18704,8,1,430,130135,27,2571897,78,178767,8,292645,93,0,0,434748,3,0,0,63054,89,
https://www.samsung.com/in/mobile/,https://www.webpagetest.org/results.php?test=230613_AiDcAD_116,5932,6998,6998,18169,699157,217488,2931741,1713268,281,281,81,223,0,58,6998,7189,3884,4376,6994,103,0.0405903182,2076,1226,,,3774,6981,14,0,418,58518,25,1952420,71,63886,14,386705,83,0,0,434748,3,0,0,35464,84,
https://www.samsung.com/in/monitors/high-resolution/uhd-uj590-32-inch-lu32j590uqwxxl/,https://www.webpagetest.org/results.php?test=230613_AiDcNT_11P,18514,21556,21556,34374,790988,343269,3671567,2565585,300,300,120,242,0,58,21556,22268,5821,6928,18500,107,0.0725546883,2390,1381,29948,29948,5027,18490,8,1,452,130004,27,2572346,78,178767,8,292645,93,0,0,434748,3,0,0,63057,90,
https://www.samsung.com/in/mobile/,https://www.webpagetest.org/results.php?test=230613_BiDcY8_11E,7336,8156,8156,20531,688295,216765,2939968,1721559,279,279,81,221,0,58,8156,8354,4422,5107,8148,104,0.037067797900000005,2184,1367,,,4319,8137,14,0,436,58485,25,1951630,71,72441,14,387198,82,0,0,434748,3,0,0,35466,83,
https://www.samsung.com/in/monitors/high-resolution/uhd-uj590-32-inch-lu32j590uqwxxl/,https://www.webpagetest.org/results.php?test=230613_AiDcRD_11J,17054,20590,20590,33124,799896,385446,3671222,2565683,298,298,129,241,0,57,20590,21247,6365,7509,17479,107,0.1065379856,2945,1585,29281,29281,5621,17474,8,1,419,130089,27,2571913,78,178767,8,292645,93,0,0,434748,3,0,0,63060,88,
https://www.samsung.com/in/mobile/,https://www.webpagetest.org/results.php?test=230613_AiDcYF_11E,6389,7886,7886,19952,708145,239490,2931600,1713439,281,281,84,222,0,59,7886,8075,4838,5455,7881,105,0.045939997600000004,2736,1668,,,4727,7867,14,0,429,58522,25,1951728,71,63886,14,387233,83,0,0,434748,3,0,0,35483,84,
https://www.samsung.com/in/monitors/high-resolution/uhd-uj590-32-inch-lu32j590uqwxxl/,https://www.webpagetest.org/results.php?test=230613_BiDc0G_11Q,18353,22868,22868,36625,810406,375971,3671080,2564438,299,299,125,241,0,58,22868,23646,7058,8465,19372,108,0.0725546883,2864,1324,29820,29820,6061,19364,8,1,472,129966,27,2571883,78,178767,8,292645,93,0,0,434748,3,0,0,63071,89,
